Files,Intelligibility,Phoneme Quality,Mispronunciation,Stress,Intonation,Pause Placement,MTI
anju_Intonation_L1_1,1,1,1,0,0,1,1
anju_Intonation_L1_2,1,1,0,1,0,0,1
anju_Intonation_L1_3,1,1,1,1,0,1,0
anju_Intonation_L1_4,1,0,0,0,0,1,0
anju_Intonation_L1_5,1,1,0,1,0,1,1
anju_Intonation_L1_6,1,1,1,1,0,1,1
anju_Intonation_L1_7,1,0,1,1,0,0,1
anju_Intonation_L1_8,1,1,1,1,0,0,1
anju_Intonation_L1_9,1,1,1,1,1,1,1
anju_Intonation_L1_10,1,1,0,1,0,0,1
anju_Intonation_L1_11,1,1,1,1,1,1,1
anju_Intonation_L1_12,1,1,0,0,1,1,1
anju_Intonation_L1_13,1,1,1,1,1,1,0
anju_Intonation_L1_14,1,1,0,0,1,1,0
anju_Intonation_L1_15,1,0,0,0,1,1,1
anju_Intonation_L1_16,1,1,0,0,0,1,0
anju_Intonation_L1_17,1,1,1,0,1,1,0
anju_Intonation_L1_18,1,1,0,0,1,1,1
anju_Intonation_L1_19,1,1,1,1,1,1,0
anju_Intonation_L1_20,1,1,1,1,0,1,1
anju_Intonation_L1_21,1,1,1,1,1,1,1
anju_Intonation_L1_22,1,1,0,1,1,1,1
anju_Intonation_L1_24,1,1,1,1,0,0,1
anju_Intonation_L1_25,1,1,0,1,0,1,1
anju_Intonation_L1_26,1,1,0,1,0,1,1
anju_Intonation_L1_27,1,1,1,1,0,1,1
anju_Intonation_L1_28,1,1,1,1,0,1,1
anju_Intonation_L1_29,1,0,0,0,1,1,1
anju_Intonation_L1_30,1,1,1,0,0,1,0
anju_Intonation_L1_31,1,0,0,0,1,1,1
anju_Intonation_L1_32,1,1,0,1,0,1,1
anju_Intonation_L1_33,1,1,1,1,1,1,1
anju_Intonation_L1_34,1,1,1,0,0,0,1
anju_Intonation_L1_35,1,1,0,0,0,1,1
anju_Intonation_L1_36,1,0,0,0,1,1,1
anju_Intonation_L1_37,1,1,1,0,0,1,1
anju_Intonation_L1_38,1,0,1,0,0,0,1
anju_Intonation_L1_39,1,0,0,0,1,0,0
anju_Intonation_L1_40,1,1,0,0,0,0,1
anju_Intonation_L1_41,1,1,0,0,1,1,1
anju_Intonation_L1_42,1,1,1,1,1,1,1
anju_Intonation_L1_43,1,1,1,0,1,1,1
anju_Intonation_L1_44,1,1,1,0,0,1,1
anju_Intonation_L1_46,1,1,0,1,1,1,1
anju_Intonation_L1_47,1,1,1,1,0,1,1
anju_Intonation_L1_48,1,1,1,1,0,0,1
anju_Intonation_L1_49,1,1,1,0,1,1,1
anju_Intonation_L1_51,1,0,0,0,0,0,1
anju_Intonation_L1_52,1,1,1,0,1,1,1
anju_Intonation_L1_53,1,1,0,0,1,1,1
anju_Intonation_L1_54,1,1,0,0,0,0,1
anju_Intonation_L1_55,1,0,0,0,1,1,1
anju_Intonation_L1_56,1,1,1,1,0,1,1
anju_Intonation_L1_57,1,1,0,0,0,1,1
anju_Intonation_L1_58,1,0,0,0,1,1,1
anju_Intonation_L1_59,1,1,0,1,0,1,1
anju_Intonation_L1_60,1,1,1,1,1,0,1
anju_Intonation_L1_61,1,1,1,1,0,1,1
anju_Intonation_L1_62,1,1,1,0,1,0,1
anju_Intonation_L1_63,1,0,0,0,1,1,1
anju_Intonation_L1_64,1,1,1,0,0,0,1
anju_Intonation_L1_65,1,0,1,0,0,0,0
anju_Intonation_L1_66,1,1,0,0,0,0,1
anju_Intonation_L1_67,1,0,1,1,1,1,1
anju_Intonation_L1_68,1,1,1,1,0,0,1
anju_Intonation_L1_69,1,0,0,0,1,1,0
anju_Intonation_L1_70,1,1,0,0,1,0,1
anju_Intonation_L1_71,1,1,1,0,1,0,1
anju_Intonation_L1_73,1,1,1,0,0,1,1
anju_Intonation_L1_74,1,1,0,0,0,1,1
anju_Intonation_L1_75,1,0,0,0,1,1,1
anju_Intonation_L1_76,1,1,1,1,1,1,0
anju_Intonation_L1_77,1,1,1,0,1,1,1
anju_Intonation_L1_78,1,1,0,0,1,1,1
anju_Intonation_L1_79,1,1,0,1,1,1,1
anju_Intonation_L1_80,1,1,0,1,0,0,1
anju_Intonation_L1_81,1,1,0,0,0,1,1
anju_Intonation_L1_82,1,1,0,0,1,1,1
anju_Intonation_L1_83,1,1,0,0,0,1,1
anju_Intonation_L1_84,1,1,0,0,1,1,1
anju_Intonation_L1_85,1,0,0,0,0,0,1
anju_Intonation_L1_86,1,1,1,0,0,1,1
anju_Intonation_L1_87,1,1,0,0,1,1,1
anju_Intonation_L1_88,1,1,1,1,1,1,1
anju_Intonation_L1_89,1,1,0,0,1,1,1
anju_Intonation_L1_90,1,1,0,0,1,1,1
anju_Intonation_L1_91,1,1,1,1,1,1,1
anju_Intonation_L1_92,1,1,0,0,0,0,1
anju_Intonation_L1_93,1,0,0,0,0,1,0
anju_Intonation_L1_95,1,1,0,1,0,0,1
anju_Intonation_L1_96,1,1,1,1,1,1,0
anju_Intonation_L1_97,1,1,1,1,0,1,0
anju_Intonation_L1_98,1,1,0,1,0,1,1
anju_Intonation_L1_100,1,0,0,0,1,1,1
anju_Intonation_L1_101,1,1,1,1,0,1,1
anju_Intonation_L1_102,1,1,0,1,0,0,1
anju_Intonation_L1_103,1,1,1,0,0,1,1
anju_Intonation_L1_104,1,1,0,1,0,0,1
anju_Intonation_L1_105,1,1,0,0,0,0,1
anju_Intonation_L1_106,1,1,0,0,1,0,1
anju_Intonation_L1_107,1,0,0,0,0,0,1
anju_Intonation_L1_108,1,1,1,0,1,1,0
anju_Intonation_L1_109,1,0,1,0,0,1,1
anju_Intonation_L1_110,1,0,1,0,0,1,1
anju_Intonation_L1_111,1,1,1,1,0,1,0
anju_Intonation_L1_112,1,1,1,1,0,1,0
anju_Intonation_L1_113,1,1,0,0,1,1,1
