Files,Intelligibility,Phoneme Quality,Mispronunciation,Stress,Intonation,Pause Placement,MTI
triesa_Phoneme_L1_6-2_VIEW_1.npy,1,1,1,0,1,1,0
kiru_Phoneme_L8_33-2_RIOT_1.npy,0,0,0,0,0,0,1
nandini_Stress_L1_4_EXCELLENTLY_1.npy,1,1,1,1,0,1,0
vishal1_Phoneme_L8_4-1_CONDEMN_1.npy,0,0,0,0,0,0,1
stephy_Intonation_L2_12_HE_1.npy,1,0,1,1,0,1,1
stephy_Intonation_L2_12_CAN'T_1.npy,1,0,1,1,0,1,1
stephy_Intonation_L2_12_REALLY_1.npy,1,0,1,1,0,1,1
stephy_Intonation_L2_12_HELP_1.npy,1,0,1,1,0,1,1
stephy_Intonation_L2_12_CAN_1.npy,1,0,1,1,0,1,1
nandini_Phoneme_L2_61-2_GOAL_1.npy,1,1,1,1,0,1,0
stephy_Phoneme_L2_60-1_COULD_1.npy,1,1,1,1,0,1,0
venktapa_Phoneme_L7_27-1_REALLY_1.npy,1,1,1,0,0,1,1
jeeva_Phoneme_L2_49-1_BET_1.npy,1,1,1,1,1,1,0
venkatt_Phoneme_L1_16-2_OVER_1.npy,1,1,1,1,0,1,1
venktapa_Stress_L4_1_IT'S_1.npy,1,1,1,1,1,1,1
venktapa_Stress_L4_1_COLD_1.npy,1,1,1,1,1,1,1
anju_Phoneme_L8_19-1_SOONER_1.npy,1,0,0,0,1,1,1
jeeva_Phoneme_L5_23-2_SCARE_1.npy,1,1,1,1,1,1,0
kiru_Sentence_L2_104_THE_1.npy,1,1,1,1,1,1,1
kiru_Sentence_L2_104_ROAD_1.npy,1,1,1,1,1,1,1
kiru_Sentence_L2_104_WENT_1.npy,1,1,1,1,1,1,1
kiru_Sentence_L2_104_AROUND_1.npy,1,1,1,1,1,1,1
kiru_Sentence_L2_104_THE_2.npy,1,1,1,1,1,1,1
kiru_Sentence_L2_104_ROCKS_1.npy,1,1,1,1,1,1,1
nandini_Sentence_L1_81_THE_1.npy,1,1,1,1,1,1,0
nandini_Sentence_L1_81_LARGEST_1.npy,1,1,1,1,1,1,0
nandini_Sentence_L1_81_BOUGH_1.npy,1,1,1,1,1,1,0
nandini_Sentence_L1_81_ON_1.npy,1,1,1,1,1,1,0
nandini_Sentence_L1_81_THE_2.npy,1,1,1,1,1,1,0
